Time(s),Position(m),Velocity(m/s)
0,0,0
0.1,-0.00572134,-0.0374852
0.2,-0.0151834,-0.0748158
0.3,-0.0283709,-0.111992
0.4,-0.0452683,-0.149015
0.5,-0.0658604,-0.185886
0.6,-0.0901318,-0.222604
0.7,-0.118067,-0.25917
0.8,-0.149652,-0.295586
0.9,-0.184871,-0.331851
1,-0.223709,-0.367967
1.1,-0.266151,-0.403933
1.2,-0.312182,-0.439752
1.3,-0.361788,-0.475422
1.4,-0.414953,-0.510945
1.5,-0.471663,-0.546322
1.6,-0.531904,-0.581552
1.7,-0.59566,-0.616637
1.8,-0.662917,-0.651578
1.9,-0.733662,-0.686374
2,-0.807879,-0.721026
2.1,-0.885553,-0.755536
2.2,-0.966672,-0.789903
2.3,-1.05122,-0.824128
2.4,-1.13918,-0.858212
2.5,-1.23055,-0.892156
2.6,-1.3253,-0.925959
2.7,-1.42343,-0.959623
2.8,-1.52491,-0.993148
2.9,-1.62974,-1.02653
3,-1.73791,-1.05978
3.1,-1.84939,-1.09289
3.2,-1.96417,-1.12587
3.3,-2.08225,-1.15871
3.4,-2.2036,-1.19141
3.5,-2.32822,-1.22398
3.6,-2.45608,-1.25641
3.7,-2.58718,-1.28871
3.8,-2.72151,-1.32088
3.9,-2.85905,-1.35291
4,-2.99978,-1.38482
4.1,-3.1437,-1.41659
4.2,-3.29078,-1.44822
4.3,-3.44103,-1.47973
4.4,-3.59442,-1.51111
4.5,-3.75094,-1.54236
4.6,-3.91057,-1.57348
4.7,-4.07332,-1.60447
4.8,-4.23916,-1.63533
4.9,-4.40807,-1.66607
5,-4.58006,-1.69668
5.1,-4.75509,-1.72716
5.2,-4.93317,-1.75752
5.3,-5.11428,-1.78775
5.4,-5.29841,-1.81786
5.5,-5.48554,-1.84784
5.6,-5.67567,-1.8777
5.7,-5.86877,-1.90744
5.8,-6.06484,-1.93705
5.9,-6.26387,-1.96654
6,-6.46583,-1.99591
6.1,-6.67073,-2.02516
6.2,-6.87855,-2.05429
6.3,-7.08928,-2.08329
6.4,-7.3029,-2.11218
6.5,-7.5194,-2.14095
6.6,-7.73877,-2.1696
6.7,-7.96101,-2.19813
6.8,-8.18609,-2.22654
6.9,-8.414,-2.25484
7,-8.64474,-2.28302
7.1,-8.87829,-2.31108
7.2,-9.11464,-2.33903
7.3,-9.35378,-2.36686
7.4,-9.5957,-2.39458
7.5,-9.84039,-2.42218
7.6,-10.0878,-2.44967
7.7,-10.338,-2.47704
7.8,-10.5909,-2.50431
7.9,-10.8466,-2.53146
8,-11.1049,-2.55849
8.1,-11.3659,-2.58542
8.2,-11.6297,-2.61224
8.3,-11.8961,-2.63894
8.4,-12.1651,-2.66553
8.5,-12.4369,-2.69202
8.6,-12.7112,-2.71839
8.7,-12.9882,-2.74466
8.8,-13.2679,-2.77082
8.9,-13.5501,-2.79687
9,-13.8349,-2.82281
9.1,-14.1223,-2.84865
9.2,-14.4123,-2.87438
9.3,-14.7049,-2.9
9.4,-15,-2.92551
9.5,-15.2977,-2.95093
9.6,-15.5979,-2.97623
9.7,-15.9006,-3.00143
9.8,-16.2059,-3.02653
9.9,-16.5136,-3.05153
