Time(s),Position(m),Velocity(m/s)
0,0,0
0.1,0.00194915,0.0389024
0.2,0.00778051,0.0776443
0.3,0.017478,0.116226
0.4,0.0310258,0.154649
0.5,0.0484079,0.192913
0.6,0.0696085,0.23102
0.7,0.0946118,0.268969
0.8,0.123402,0.306761
0.9,0.155964,0.344397
1,0.192282,0.381879
1.1,0.23234,0.419205
1.2,0.276123,0.456377
1.3,0.323615,0.493396
1.4,0.374802,0.530262
1.5,0.429668,0.566976
1.6,0.488197,0.603539
1.7,0.550376,0.639951
1.8,0.616187,0.676212
1.9,0.685618,0.712324
2,0.758652,0.748286
2.1,0.835275,0.7841
2.2,0.915472,0.819767
2.3,0.999229,0.855286
2.4,1.08653,0.890659
2.5,1.17736,0.925885
2.6,1.27171,0.960967
2.7,1.36955,0.995903
2.8,1.47089,1.0307
2.9,1.57569,1.06534
3,1.68396,1.09985
3.1,1.79566,1.13421
3.2,1.9108,1.16843
3.3,2.02935,1.20252
3.4,2.1513,1.23645
3.5,2.27664,1.27025
3.6,2.40535,1.30391
3.7,2.53742,1.33744
3.8,2.67284,1.37082
3.9,2.81159,1.40406
4,2.95365,1.43717
4.1,3.09902,1.47014
4.2,3.24768,1.50298
4.3,3.39962,1.53568
4.4,3.55482,1.56824
4.5,3.71327,1.60067
4.6,3.87495,1.63297
4.7,4.03986,1.66513
4.8,4.20798,1.69716
4.9,4.37929,1.72906
5,4.55379,1.76083
5.1,4.73146,1.79246
5.2,4.91228,1.82397
5.3,5.09625,1.85534
5.4,5.28335,1.88659
5.5,5.47357,1.9177
5.6,5.66689,1.94869
5.7,5.86331,1.97955
5.8,6.0628,2.01028
5.9,6.26536,2.04089
6,6.47098,2.07137
6.1,6.67964,2.10172
6.2,6.89132,2.13195
6.3,7.10603,2.16206
6.4,7.32373,2.19204
6.5,7.54443,2.22189
6.6,7.76811,2.25162
6.7,7.99476,2.28123
6.8,8.22436,2.31072
6.9,8.4569,2.34009
7,8.69238,2.36933
7.1,8.93077,2.39846
7.2,9.17207,2.42746
7.3,9.41626,2.45634
7.4,9.66334,2.48511
7.5,9.91328,2.51376
7.6,10.1661,2.54228
7.7,10.4217,2.57069
7.8,10.6802,2.59899
7.9,10.9415,2.62716
8,11.2057,2.65522
8.1,11.4726,2.68317
8.2,11.7423,2.711
8.3,12.0148,2.73871
8.4,12.29,2.76631
8.5,12.568,2.7938
8.6,12.8488,2.82117
8.7,13.1323,2.84843
8.8,13.4185,2.87557
8.9,13.7074,2.90261
9,13.999,2.92953
9.1,14.2933,2.95634
9.2,14.5903,2.98305
9.3,14.8899,3.00964
9.4,15.1922,3.03612
9.5,15.4971,3.06249
9.6,15.8047,3.08875
9.7,16.1149,3.11491
9.8,16.4277,3.14096
9.9,16.7431,3.1669
