Time(s),Position(m),Velocity(m/s)
0,0,0
0.1,-0.00189795,0.000590498
0.2,-0.00373698,0.00117856
0.3,-0.00551732,0.00176419
0.4,-0.00723921,0.00234741
0.5,-0.00890291,0.00292822
0.6,-0.0105086,0.00350663
0.7,-0.0120567,0.00408266
0.8,-0.0135472,0.00465631
0.9,-0.0149805,0.00522759
1,-0.0163567,0.00579651
1.1,-0.0176762,0.00636309
1.2,-0.0189392,0.00692732
1.3,-0.0201459,0.00748923
1.4,-0.0212964,0.00804882
1.5,-0.0223912,0.0086061
1.6,-0.0234303,0.00916108
1.7,-0.024414,0.00971377
1.8,-0.0253426,0.0102642
1.9,-0.0262163,0.0108123
2,-0.0270352,0.0113582
2.1,-0.0277997,0.0119018
2.2,-0.0285099,0.0124432
2.3,-0.0291661,0.0129823
2.4,-0.0297685,0.0135193
2.5,-0.0303174,0.014054
2.6,-0.0308128,0.0145865
2.7,-0.0312552,0.0151168
2.8,-0.0316446,0.0156449
2.9,-0.0319813,0.0161708
3,-0.0322655,0.0166946
3.1,-0.0324974,0.0172162
3.2,-0.0326773,0.0177356
3.3,-0.0328054,0.0182529
3.4,-0.0328818,0.0187681
3.5,-0.0329068,0.0192811
3.6,-0.0328807,0.019792
3.7,-0.0328035,0.0203009
3.8,-0.0326756,0.0208076
3.9,-0.0324971,0.0213122
4,-0.0322682,0.0218147
4.1,-0.0319892,0.0223152
4.2,-0.0316602,0.0228136
4.3,-0.0312815,0.0233099
4.4,-0.0308533,0.0238042
4.5,-0.0303758,0.0242965
4.6,-0.0298491,0.0247867
4.7,-0.0292735,0.0252749
4.8,-0.0286492,0.0257611
4.9,-0.0279764,0.0262453
5,-0.0272552,0.0267275
5.1,-0.0264859,0.0272077
5.2,-0.0256687,0.0276859
5.3,-0.0248038,0.0281621
5.4,-0.0238914,0.0286364
5.5,-0.0229316,0.0291087
5.6,-0.0219247,0.0295791
5.7,-0.0208709,0.0300475
5.8,-0.0197703,0.030514
5.9,-0.0186232,0.0309786
6,-0.0174297,0.0314412
6.1,-0.01619,0.0319019
6.2,-0.0149044,0.0323608
6.3,-0.0135729,0.0328177
6.4,-0.0121959,0.0332728
6.5,-0.0107735,0.033726
6.6,-0.00930578,0.0341773
6.7,-0.00779308,0.0346267
6.8,-0.00623552,0.0350743
6.9,-0.00463329,0.03552
7,-0.00298658,0.035964
7.1,-0.00129558,0.036406
7.2,0.000439546,0.0368463
7.3,0.0022186,0.0372847
7.4,0.00404141,0.0377213
7.5,0.00590779,0.0381561
7.6,0.00781757,0.0385892
7.7,0.00977055,0.0390204
7.8,0.0117666,0.0394499
7.9,0.0138055,0.0398776
8,0.015887,0.0403035
8.1,0.0180111,0.0407276
8.2,0.0201775,0.0411501
8.3,0.022386,0.0415707
8.4,0.0246365,0.0419897
8.5,0.0269289,0.0424069
8.6,0.0292628,0.0428223
8.7,0.0316383,0.0432361
8.8,0.034055,0.0436482
8.9,0.0365128,0.0440585
9,0.0390116,0.0444672
9.1,0.0415512,0.0448742
9.2,0.0441314,0.0452795
9.3,0.046752,0.0456831
9.4,0.0494129,0.0460851
9.5,0.0521139,0.0464854
9.6,0.0548549,0.046884
9.7,0.0576357,0.047281
9.8,0.060456,0.0476764
9.9,0.0633159,0.0480701
10,0.066215,0.0484622
10.1,0.0691533,0.0488527
10.2,0.0721305,0.0492416
10.3,0.0751465,0.0496289
10.4,0.0782012,0.0500146
10.5,0.0812943,0.0503987
10.6,0.0844258,0.0507812
10.7,0.0875955,0.0511621
10.8,0.0908032,0.0515414
10.9,0.0940487,0.0519192
11,0.0973319,0.0522954
11.1,0.100653,0.0526701
11.2,0.104011,0.0530432
