Time(s),Position(m),Velocity(m/s)
11.3,0.107406,0.0534148
11.4,0.110839,0.0537849
11.5,0.114308,0.0541534
11.6,0.117814,0.0545204
11.7,0.121357,0.0548859
11.8,0.124936,0.0552499
11.9,0.128552,0.0556124
12,0.132204,0.0559733
12.1,0.135892,0.0563328
12.2,0.139615,0.0566908
12.3,0.143375,0.0570474
12.4,0.14717,0.0574024
12.5,0.151,0.057756
12.6,0.154866,0.0581082
12.7,0.158767,0.0584589
12.8,0.162703,0.0588081
12.9,0.166673,0.0591559
13,0.170679,0.0595022
13.1,0.174719,0.0598472
13.2,0.178793,0.0601907
13.3,0.182902,0.0605328
13.4,0.187045,0.0608734
13.5,0.191221,0.0612127
13.6,0.195432,0.0615506
13.7,0.199676,0.0618871
13.8,0.203954,0.0622221
13.9,0.208266,0.0625559
14,0.21261,0.0628882
14.1,0.216988,0.0632191
14.2,0.221399,0.0635487
14.3,0.225843,0.063877
14.4,0.230319,0.0642038
14.5,0.234829,0.0645294
14.6,0.23937,0.0648535
14.7,0.243944,0.0651764
14.8,0.24855,0.0654979
14.9,0.253189,0.0658181
15,0.257859,0.0661369
15.1,0.262561,0.0664545
15.2,0.267295,0.0667707
15.3,0.27206,0.0670857
15.4,0.276857,0.0673993
15.5,0.281685,0.0677116
15.6,0.286544,0.0680227
15.7,0.291434,0.0683324
15.8,0.296356,0.0686409
15.9,0.301308,0.0689481
16,0.30629,0.0692541
16.1,0.311303,0.0695588
16.2,0.316347,0.0698622
16.3,0.321421,0.0701644
16.4,0.326525,0.0704653
16.5,0.331659,0.070765
16.6,0.336823,0.0710634
16.7,0.342016,0.0713607
16.8,0.34724,0.0716566
16.9,0.352492,0.0719514
17,0.357775,0.072245
17.1,0.363086,0.0725373
17.2,0.368427,0.0728284
17.3,0.373797,0.0731184
17.4,0.379196,0.0734071
17.5,0.384623,0.0736946
17.6,0.39008,0.073981
17.7,0.395564,0.0742662
17.8,0.401078,0.0745502
17.9,0.406619,0.074833
18,0.412189,0.0751147
18.1,0.417787,0.0753952
18.2,0.423413,0.0756745
18.3,0.429067,0.0759527
18.4,0.434749,0.0762297
18.5,0.440458,0.0765056
18.6,0.446195,0.0767804
18.7,0.451959,0.077054
18.8,0.45775,0.0773265
18.9,0.463569,0.0775979
19,0.469415,0.0778681
19.1,0.475288,0.0781372
19.2,0.481187,0.0784053
19.3,0.487114,0.0786722
19.4,0.493067,0.078938
19.5,0.499046,0.0792027
19.6,0.505052,0.0794663
19.7,0.511084,0.0797289
19.8,0.517143,0.0799903
19.9,0.523227,0.0802507
20,0.529338,0.08051
20.1,0.535474,0.0807682
20.2,0.541637,0.0810254
20.3,0.547824,0.0812815
20.4,0.554038,0.0815365
20.5,0.560277,0.0817905
20.6,0.566541,0.0820435
20.7,0.57283,0.0822954
20.8,0.579145,0.0825462
20.9,0.585484,0.0827961
21,0.591849,0.0830449
21.1,0.598238,0.0832926
21.2,0.604652,0.0835394
21.3,0.611091,0.0837851
21.4,0.617554,0.0840298
21.5,0.624042,0.0842735
21.6,0.630554,0.0845162
21.7,0.63709,0.0847579
21.8,0.64365,0.0849986
21.9,0.650235,0.0852383
22,0.656843,0.085477
22.1,0.663475,0.0857148
22.2,0.670131,0.0859515
22.3,0.67681,0.0861873
22.4,0.683513,0.0864221
22.5,0.69024,0.0866559
22.6,0.696989,0.0868888
22.7,0.703762,0.0871207
22.8,0.710558,0.0873516
22.9,0.717378,0.0875816
23,0.72422,0.0878107
23.1,0.731085,0.0880388
23.2,0.737972,0.0882659
23.3,0.744883,0.0884921
23.4,0.751816,0.0887174
23.5,0.758771,0.0889418
23.6,0.765749,0.0891652
23.7,0.772749,0.0893877
23.8,0.779771,0.0896093
23.9,0.786816,0.08983
24,0.793882,0.0900498
24.1,0.800971,0.0902686
24.2,0.808081,0.0904866
24.3,0.815213,0.0907036
24.4,0.822367,0.0909198
24.5,0.829542,0.0911351
24.6,0.836739,0.0913494
24.7,0.843957,0.0915629
24.8,0.851196,0.0917756
24.9,0.858457,0.0919873
25,0.865739,0.0921981
25.1,0.873041,0.0924081
25.2,0.880365,0.0926173
25.3,0.88771,0.0928255
25.4,0.895075,0.0930329
25.5,0.902461,0.0932395
25.6,0.909868,0.0934452
25.7,0.917295,0.09365
25.8,0.924743,0.093854
25.9,0.932211,0.0940572
26,0.939699,0.0942595
26.1,0.947208,0.094461
26.2,0.954736,0.0946616
26.3,0.962285,0.0948615
26.4,0.969854,0.0950605
26.5,0.977442,0.0952586
26.6,0.98505,0.095456
26.7,0.992678,0.0956526
26.8,1.00033,0.0958483
26.9,1.00799,0.0960432
27,1.01568,0.0962373
27.1,1.02339,0.0964307
27.2,1.03111,0.0966232
27.3,1.03885,0.0968149
27.4,1.04662,0.0970059
27.5,1.0544,0.097196
27.6,1.0622,0.0973854
27.7,1.07002,0.097574
27.8,1.07786,0.0977618
27.9,1.08572,0.0979488
28,1.0936,0.0981351
28.1,1.10149,0.0983205
28.2,1.10941,0.0985053
28.3,1.11734,0.0986892
28.4,1.12529,0.0988724
28.5,1.13326,0.0990549
28.6,1.14124,0.0992366
28.7,1.14925,0.0994175
28.8,1.15727,0.0995977
28.9,1.16531,0.0997772
29,1.17337,0.0999559
29.1,1.18145,0.100134
29.2,1.18954,0.100311
29.3,1.19766,0.100488
29.4,1.20579,0.100663
29.5,1.21393,0.100838
29.6,1.2221,0.101013
29.7,1.23028,0.101186
29.8,1.23848,0.101359
29.9,1.2467,0.101531
30,1.25493,0.101703
30.1,1.26318,0.101874
30.2,1.27145,0.102044
30.3,1.27974,0.102213
30.4,1.28804,0.102382
30.5,1.29636,0.10255
30.6,1.3047,0.102717
30.7,1.31305,0.102884
30.8,1.32142,0.10305
30.9,1.3298,0.103215
31,1.3382,0.103379
31.1,1.34662,0.103543
31.2,1.35506,0.103706
31.3,1.36351,0.103869
31.4,1.37198,0.104031
31.5,1.38046,0.104192
31.6,1.38896,0.104352
31.7,1.39748,0.104512
31.8,1.40601,0.104671
31.9,1.41456,0.10483
32,1.42312,0.104988
32.1,1.4317,0.105145
32.2,1.44029,0.105301
32.3,1.4489,0.105457
32.4,1.45753,0.105613
32.5,1.46617,0.105767
32.6,1.47483,0.105921
32.7,1.4835,0.106075
32.8,1.49219,0.106227
32.9,1.50089,0.106379
33,1.50961,0.106531
33.1,1.51834,0.106682
33.2,1.52709,0.106832
33.3,1.53585,0.106981
33.4,1.54463,0.10713
33.5,1.55342,0.107279
33.6,1.56223,0.107427
33.7,1.57105,0.107574
33.8,1.57989,0.10772
33.9,1.58874,0.107866
34,1.59761,0.108012
34.1,1.60649,0.108156
34.2,1.61539,0.1083
34.3,1.62429,0.108444
34.4,1.63322,0.108587
34.5,1.64216,0.108729
34.6,1.65111,0.108871
34.7,1.66008,0.109012
34.8,1.66906,0.109153
34.9,1.67805,0.109293
35,1.68706,0.109432
35.1,1.69608,0.109571
35.2,1.70512,0.109709
35.3,1.71417,0.109847
35.4,1.72323,0.109984
35.5,1.73231,0.110121
35.6,1.7414,0.110257
35.7,1.75051,0.110392
35.8,1.75963,0.110527
35.9,1.76876,0.110662
36,1.7779,0.110795
36.1,1.78706,0.110929
36.2,1.79623,0.111061
36.3,1.80542,0.111193
36.4,1.81462,0.111325
36.5,1.82383,0.111456
36.6,1.83305,0.111587
36.7,1.84229,0.111717
36.8,1.85154,0.111846
36.9,1.86081,0.111975
37,1.87008,0.112103
37.1,1.87937,0.112231
37.2,1.88867,0.112358
37.3,1.89799,0.112485
37.4,1.90732,0.112612
37.5,1.91666,0.112737
37.6,1.92601,0.112863
37.7,1.93537,0.112987
37.8,1.94475,0.113111
37.9,1.95414,0.113235
38,1.96354,0.113358
38.1,1.97296,0.113481
38.2,1.98238,0.113603
38.3,1.99182,0.113725
38.4,2.00127,0.113846
38.5,2.01074,0.113967
38.6,2.02021,0.114087
38.7,2.0297,0.114206
38.8,2.0392,0.114326
38.9,2.04871,0.114444
39,2.05823,0.114562
39.1,2.06777,0.11468
39.2,2.07731,0.114797
39.3,2.08687,0.114914
39.4,2.09644,0.11503
39.5,2.10602,0.115146
39.6,2.11561,0.115261
39.7,2.12522,0.115376
39.8,2.13483,0.11549
39.9,2.14446,0.115604
40,2.1541,0.115718
40.1,2.16375,0.115831
40.2,2.17341,0.115943
40.3,2.18308,0.116055
40.4,2.19277,0.116167
40.5,2.20246,0.116278
40.6,2.21217,0.116388
40.7,2.22188,0.116498
40.8,2.23161,0.116608
40.9,2.24135,0.116717
41,2.2511,0.116826
41.1,2.26086,0.116935
41.2,2.27063,0.117042
41.3,2.28041,0.11715
41.4,2.29021,0.117257
41.5,2.30001,0.117364
41.6,2.30982,0.11747
41.7,2.31965,0.117575
41.8,2.32948,0.117681
41.9,2.33933,0.117785
42,2.34919,0.11789
42.1,2.35905,0.117994
42.2,2.36893,0.118097
42.3,2.37882,0.1182
42.4,2.38872,0.118303
42.5,2.39862,0.118405
42.6,2.40854,0.118507
42.7,2.41847,0.118609
42.8,2.42841,0.11871
42.9,2.43836,0.11881
43,2.44832,0.11891
43.1,2.45828,0.11901
43.2,2.46826,0.119109
43.3,2.47825,0.119208
43.4,2.48825,0.119307
43.5,2.49826,0.119405
43.6,2.50827,0.119503
43.7,2.5183,0.1196
43.8,2.52834,0.119697
43.9,2.53839,0.119793
44,2.54844,0.11989
44.1,2.55851,0.119985
44.2,2.56859,0.120081
44.3,2.57867,0.120175
44.4,2.58877,0.12027
44.5,2.59887,0.120364
44.6,2.60898,0.120458
44.7,2.61911,0.120551
44.8,2.62924,0.120644
44.9,2.63938,0.120737
45,2.64953,0.120829
45.1,2.65969,0.120921
45.2,2.66986,0.121012
45.3,2.68004,0.121103
45.4,2.69023,0.121194
45.5,2.70042,0.121284
45.6,2.71063,0.121374
45.7,2.72084,0.121464
45.8,2.73106,0.121553
45.9,2.7413,0.121642
46,2.75154,0.12173
46.1,2.76179,0.121819
46.2,2.77205,0.121906
46.3,2.78231,0.121994
46.4,2.79259,0.122081
46.5,2.80288,0.122167
46.6,2.81317,0.122254
46.7,2.82347,0.12234
46.8,2.83378,0.122425
46.9,2.8441,0.122511
47,2.85443,0.122595
47.1,2.86476,0.12268
47.2,2.87511,0.122764
47.3,2.88546,0.122848
47.4,2.89582,0.122931
47.5,2.90619,0.123015
47.6,2.91657,0.123097
47.7,2.92696,0.12318
47.8,2.93735,0.123262
47.9,2.94776,0.123344
48,2.95817,0.123425
48.1,2.96859,0.123506
48.2,2.97901,0.123587
48.3,2.98945,0.123668
48.4,2.99989,0.123748
48.5,3.01034,0.123828
48.6,3.0208,0.123907
48.7,3.03127,0.123986
48.8,3.04174,0.124065
48.9,3.05223,0.124143
49,3.06272,0.124222
49.1,3.07322,0.124299
49.2,3.08372,0.124377
49.3,3.09424,0.124454
49.4,3.10476,0.124531
49.5,3.11529,0.124608
49.6,3.12582,0.124684
49.7,3.13637,0.12476
49.8,3.14692,0.124835
49.9,3.15748,0.124911
50,3.16805,0.124986
50.1,3.17862,0.12506
50.2,3.18921,0.125135
50.3,3.19979,0.125209
50.4,3.21039,0.125282
50.5,3.221,0.125356
50.6,3.23161,0.125429
50.7,3.24223,0.125502
50.8,3.25285,0.125574
50.9,3.26349,0.125647
51,3.27413,0.125719
51.1,3.28478,0.12579
51.2,3.29543,0.125862
51.3,3.30609,0.125933
51.4,3.31676,0.126003
51.5,3.32744,0.126074
51.6,3.33812,0.126144
51.7,3.34881,0.126214
51.8,3.35951,0.126284
51.9,3.37021,0.126353
52,3.38092,0.126422
52.1,3.39164,0.126491
52.2,3.40237,0.126559
52.3,3.4131,0.126627
52.4,3.42384,0.126695
52.5,3.43458,0.126763
52.6,3.44534,0.12683
52.7,3.45609,0.126897
52.8,3.46686,0.126964
52.9,3.47763,0.127031
53,3.48841,0.127097
53.1,3.4992,0.127163
53.2,3.50999,0.127228
53.3,3.52079,0.127294
53.4,3.53159,0.127359
53.5,3.5424,0.127424
53.6,3.55322,0.127489
53.7,3.56405,0.127553
53.8,3.57488,0.127617
53.9,3.58571,0.127681
54,3.59656,0.127744
54.1,3.60741,0.127808
54.2,3.61827,0.127871
54.3,3.62913,0.127933
54.4,3.64,0.127996
54.5,3.65087,0.128058
54.6,3.66175,0.12812
54.7,3.67264,0.128182
54.8,3.68353,0.128243
54.9,3.69443,0.128305
55,3.70534,0.128366
55.1,3.71625,0.128426
55.2,3.72717,0.128487
55.3,3.73809,0.128547
55.4,3.74903,0.128607
55.5,3.75996,0.128667
55.6,3.7709,0.128726
55.7,3.78185,0.128786
55.8,3.79281,0.128845
55.9,3.80377,0.128903
56,3.81473,0.128962
56.1,3.8257,0.12902
56.2,3.83668,0.129078
56.3,3.84766,0.129136
56.4,3.85865,0.129193
56.5,3.86965,0.129251
56.6,3.88065,0.129308
56.7,3.89165,0.129365
56.8,3.90266,0.129421
56.9,3.91368,0.129478
57,3.92471,0.129534
57.1,3.93573,0.12959
57.2,3.94677,0.129645
57.3,3.95781,0.129701
57.4,3.96885,0.129756
57.5,3.9799,0.129811
57.6,3.99096,0.129866
57.7,4.00202,0.12992
57.8,4.01309,0.129975
57.9,4.02416,0.130029
58,4.03524,0.130083
58.1,4.04632,0.130136
58.2,4.05741,0.13019
58.3,4.06851,0.130243
58.4,4.07961,0.130296
58.5,4.09071,0.130349
58.6,4.10182,0.130401
58.7,4.11294,0.130453
58.8,4.12406,0.130506
58.9,4.13518,0.130557
59,4.14631,0.130609
59.1,4.15745,0.130661
59.2,4.16859,0.130712
59.3,4.17974,0.130763
59.4,4.19089,0.130814
59.5,4.20204,0.130864
59.6,4.2132,0.130915
59.7,4.22437,0.130965
59.8,4.23554,0.131015
59.9,4.24672,0.131065
