Time(s),Position(m),Velocity(m/s)
33.6,-141.576,-6.81952
33.7,-142.263,-6.82886
33.8,-142.95,-6.83816
33.9,-143.638,-6.84743
34,-144.327,-6.85665
34.1,-145.017,-6.86584
34.2,-145.708,-6.87499
34.3,-146.4,-6.8841
34.4,-147.092,-6.89318
34.5,-147.786,-6.90221
34.6,-148.48,-6.91121
34.7,-149.176,-6.92017
34.8,-149.872,-6.9291
34.9,-150.569,-6.93799
35,-151.267,-6.94684
35.1,-151.966,-6.95566
35.2,-152.666,-6.96443
35.3,-153.367,-6.97318
35.4,-154.069,-6.98188
35.5,-154.771,-6.99055
35.6,-155.474,-6.99919
35.7,-156.179,-7.00779
35.8,-156.884,-7.01635
35.9,-157.59,-7.02488
36,-158.296,-7.03337
36.1,-159.004,-7.04183
36.2,-159.712,-7.05026
36.3,-160.422,-7.05864
36.4,-161.132,-7.067
36.5,-161.843,-7.07532
36.6,-162.555,-7.0836
36.7,-163.267,-7.09185
36.8,-163.981,-7.10007
36.9,-164.695,-7.10825
37,-165.41,-7.1164
37.1,-166.126,-7.12452
37.2,-166.843,-7.1326
37.3,-167.56,-7.14065
37.4,-168.278,-7.14866
37.5,-168.997,-7.15665
37.6,-169.717,-7.1646
37.7,-170.438,-7.17251
37.8,-171.16,-7.1804
37.9,-171.882,-7.18825
38,-172.605,-7.19607
38.1,-173.329,-7.20385
38.2,-174.053,-7.21161
38.3,-174.779,-7.21933
38.4,-175.505,-7.22702
38.5,-176.232,-7.23468
38.6,-176.96,-7.24231
38.7,-177.688,-7.2499
38.8,-178.417,-7.25747
38.9,-179.147,-7.265
39,-179.878,-7.2725
39.1,-180.609,-7.27998
39.2,-181.342,-7.28742
39.3,-182.075,-7.29483
39.4,-182.808,-7.30221
39.5,-183.543,-7.30955
39.6,-184.278,-7.31687
39.7,-185.014,-7.32416
39.8,-185.75,-7.33142
39.9,-186.488,-7.33865
40,-187.226,-7.34585
40.1,-187.965,-7.35301
40.2,-188.704,-7.36015
40.3,-189.444,-7.36726
40.4,-190.185,-7.37434
40.5,-190.927,-7.38139
40.6,-191.669,-7.38842
40.7,-192.412,-7.39541
40.8,-193.156,-7.40237
40.9,-193.9,-7.40931
41,-194.645,-7.41621
41.1,-195.391,-7.42309
41.2,-196.138,-7.42994
41.3,-196.885,-7.43676
41.4,-197.633,-7.44356
41.5,-198.381,-7.45032
41.6,-199.131,-7.45706
41.7,-199.88,-7.46377
41.8,-200.631,-7.47045
41.9,-201.382,-7.47711
42,-202.134,-7.48373
42.1,-202.887,-7.49033
42.2,-203.64,-7.49691
42.3,-204.394,-7.50345
42.4,-205.148,-7.50997
42.5,-205.903,-7.51646
42.6,-206.659,-7.52292
42.7,-207.416,-7.52936
42.8,-208.173,-7.53577
42.9,-208.931,-7.54216
43,-209.689,-7.54852
43.1,-210.448,-7.55485
43.2,-211.208,-7.56116
43.3,-211.968,-7.56744
43.4,-212.729,-7.57369
43.5,-213.49,-7.57992
43.6,-214.252,-7.58612
43.7,-215.015,-7.5923
43.8,-215.779,-7.59845
43.9,-216.543,-7.60457
44,-217.307,-7.61068
44.1,-218.072,-7.61675
44.2,-218.838,-7.6228
44.3,-219.605,-7.62883
44.4,-220.372,-7.63483
44.5,-221.139,-7.6408
44.6,-221.907,-7.64676
44.7,-222.676,-7.65268
44.8,-223.446,-7.65858
44.9,-224.216,-7.66446
45,-224.986,-7.67032
45.1,-225.757,-7.67615
45.2,-226.529,-7.68195
45.3,-227.302,-7.68773
45.4,-228.074,-7.69349
45.5,-228.848,-7.69922
45.6,-229.622,-7.70493
45.7,-230.397,-7.71062
45.8,-231.172,-7.71628
45.9,-231.948,-7.72192
46,-232.724,-7.72754
46.1,-233.501,-7.73313
46.2,-234.278,-7.7387
46.3,-235.056,-7.74425
46.4,-235.835,-7.74978
46.5,-236.614,-7.75528
46.6,-237.393,-7.76076
46.7,-238.174,-7.76621
46.8,-238.954,-7.77165
46.9,-239.736,-7.77706
47,-240.517,-7.78245
47.1,-241.3,-7.78781
47.2,-242.083,-7.79316
47.3,-242.866,-7.79848
47.4,-243.65,-7.80378
47.5,-244.435,-7.80906
47.6,-245.22,-7.81432
47.7,-246.005,-7.81955
47.8,-246.791,-7.82477
47.9,-247.578,-7.82996
48,-248.365,-7.83513
48.1,-249.152,-7.84028
48.2,-249.941,-7.84541
48.3,-250.729,-7.85051
48.4,-251.518,-7.8556
48.5,-252.308,-7.86066
48.6,-253.098,-7.86571
48.7,-253.889,-7.87073
48.8,-254.68,-7.87573
48.9,-255.472,-7.88071
49,-256.264,-7.88568
49.1,-257.057,-7.89062
49.2,-257.85,-7.89554
49.3,-258.643,-7.90044
49.4,-259.437,-7.90532
49.5,-260.232,-7.91018
49.6,-261.027,-7.91502
49.7,-261.823,-7.91984
49.8,-262.619,-7.92464
49.9,-263.415,-7.92942
50,-264.212,-7.93418
50.1,-265.01,-7.93892
50.2,-265.808,-7.94364
50.3,-266.606,-7.94834
50.4,-267.405,-7.95302
50.5,-268.205,-7.95768
50.6,-269.004,-7.96233
50.7,-269.805,-7.96695
50.8,-270.606,-7.97156
50.9,-271.407,-7.97614
51,-272.208,-7.98071
51.1,-273.011,-7.98526
51.2,-273.813,-7.98979
51.3,-274.616,-7.9943
51.4,-275.42,-7.99879
51.5,-276.224,-8.00327
51.6,-277.028,-8.00772
51.7,-277.833,-8.01216
51.8,-278.638,-8.01658
51.9,-279.444,-8.02098
52,-280.25,-8.02536
52.1,-281.057,-8.02972
52.2,-281.864,-8.03407
52.3,-282.671,-8.0384
52.4,-283.479,-8.04271
52.5,-284.287,-8.047
52.6,-285.096,-8.05128
52.7,-285.905,-8.05553
52.8,-286.715,-8.05977
52.9,-287.525,-8.064
53,-288.335,-8.0682
53.1,-289.146,-8.07239
53.2,-289.958,-8.07656
53.3,-290.769,-8.08071
53.4,-291.581,-8.08485
53.5,-292.394,-8.08897
53.6,-293.207,-8.09307
53.7,-294.02,-8.09715
53.8,-294.834,-8.10122
53.9,-295.648,-8.10527
54,-296.463,-8.10931
54.1,-297.278,-8.11332
54.2,-298.093,-8.11733
54.3,-298.909,-8.12131
54.4,-299.725,-8.12528
54.5,-300.542,-8.12923
54.6,-301.359,-8.13317
54.7,-302.176,-8.13709
54.8,-302.994,-8.14099
54.9,-303.812,-8.14488
55,-304.63,-8.14875
55.1,-305.449,-8.1526
55.2,-306.269,-8.15644
55.3,-307.088,-8.16026
55.4,-307.908,-8.16407
55.5,-308.729,-8.16786
55.6,-309.55,-8.17164
55.7,-310.371,-8.1754
55.8,-311.192,-8.17914
55.9,-312.014,-8.18287
56,-312.837,-8.18659
56.1,-313.659,-8.19029
56.2,-314.482,-8.19397
56.3,-315.306,-8.19764
56.4,-316.13,-8.20129
56.5,-316.954,-8.20493
56.6,-317.778,-8.20855
56.7,-318.603,-8.21216
56.8,-319.428,-8.21576
56.9,-320.254,-8.21933
57,-321.08,-8.2229
57.1,-321.906,-8.22645
57.2,-322.733,-8.22998
57.3,-323.56,-8.2335
57.4,-324.387,-8.23701
57.5,-325.215,-8.2405
57.6,-326.043,-8.24397
57.7,-326.871,-8.24743
57.8,-327.7,-8.25088
57.9,-328.529,-8.25432
58,-329.359,-8.25774
58.1,-330.189,-8.26114
58.2,-331.019,-8.26453
58.3,-331.849,-8.26791
58.4,-332.68,-8.27127
58.5,-333.511,-8.27462
58.6,-334.343,-8.27796
58.7,-335.174,-8.28128
58.8,-336.006,-8.28459
58.9,-336.839,-8.28788
59,-337.672,-8.29116
59.1,-338.505,-8.29443
59.2,-339.338,-8.29768
59.3,-340.172,-8.30092
59.4,-341.006,-8.30415
59.5,-341.841,-8.30736
59.6,-342.675,-8.31056
59.7,-343.51,-8.31375
59.8,-344.346,-8.31693
59.9,-345.181,-8.32009
