Time(s),Position(m),Velocity(m/s)
0,0,0
0.1,-0.00572134,-0.0374852
0.2,-0.0151834,-0.0748158
0.3,-0.0283709,-0.111992
0.4,-0.0452683,-0.149015
0.5,-0.0658604,-0.185886
0.6,-0.0901318,-0.222604
0.7,-0.118067,-0.25917
0.8,-0.149652,-0.295586
0.9,-0.184871,-0.331851
1,-0.223709,-0.367967
1.1,-0.266151,-0.403933
1.2,-0.312182,-0.439752
1.3,-0.361788,-0.475422
1.4,-0.414953,-0.510945
1.5,-0.471663,-0.546322
1.6,-0.531904,-0.581552
1.7,-0.59566,-0.616637
1.8,-0.662917,-0.651578
1.9,-0.733662,-0.686374
2,-0.807879,-0.721026
2.1,-0.885553,-0.755536
2.2,-0.966672,-0.789903
2.3,-1.05122,-0.824128
2.4,-1.13918,-0.858212
2.5,-1.23055,-0.892156
2.6,-1.3253,-0.925959
2.7,-1.42343,-0.959623
2.8,-1.52491,-0.993148
2.9,-1.62974,-1.02653
3,-1.73791,-1.05978
3.1,-1.84939,-1.09289
3.2,-1.96417,-1.12587
3.3,-2.08225,-1.15871
3.4,-2.2036,-1.19141
3.5,-2.32822,-1.22398
3.6,-2.45608,-1.25641
3.7,-2.58718,-1.28871
3.8,-2.72151,-1.32088
3.9,-2.85905,-1.35291
4,-2.99978,-1.38482
4.1,-3.1437,-1.41659
4.2,-3.29078,-1.44822
4.3,-3.44103,-1.47973
4.4,-3.59442,-1.51111
4.5,-3.75094,-1.54236
4.6,-3.91057,-1.57348
4.7,-4.07332,-1.60447
4.8,-4.23916,-1.63533
4.9,-4.40807,-1.66607
5,-4.58006,-1.69668
5.1,-4.75509,-1.72716
5.2,-4.93317,-1.75752
5.3,-5.11428,-1.78775
5.4,-5.29841,-1.81786
5.5,-5.48554,-1.84784
5.6,-5.67567,-1.8777
5.7,-5.86877,-1.90744
5.8,-6.06484,-1.93705
5.9,-6.26387,-1.96654
6,-6.46583,-1.99591
6.1,-6.67073,-2.02516
6.2,-6.87855,-2.05429
6.3,-7.08928,-2.08329
6.4,-7.3029,-2.11218
6.5,-7.5194,-2.14095
6.6,-7.73877,-2.1696
6.7,-7.96101,-2.19813
6.8,-8.18609,-2.22654
6.9,-8.414,-2.25484
7,-8.64474,-2.28302
7.1,-8.87829,-2.31108
7.2,-9.11464,-2.33903
7.3,-9.35378,-2.36686
7.4,-9.5957,-2.39458
7.5,-9.84039,-2.42218
7.6,-10.0878,-2.44967
7.7,-10.338,-2.47704
7.8,-10.5909,-2.50431
7.9,-10.8466,-2.53146
8,-11.1049,-2.55849
8.1,-11.3659,-2.58542
8.2,-11.6297,-2.61224
8.3,-11.8961,-2.63894
8.4,-12.1651,-2.66553
8.5,-12.4369,-2.69202
8.6,-12.7112,-2.71839
8.7,-12.9882,-2.74466
8.8,-13.2679,-2.77082
8.9,-13.5501,-2.79687
9,-13.8349,-2.82281
9.1,-14.1223,-2.84865
9.2,-14.4123,-2.87438
9.3,-14.7049,-2.9
9.4,-15,-2.92551
9.5,-15.2977,-2.95093
9.6,-15.5979,-2.97623
9.7,-15.9006,-3.00143
9.8,-16.2059,-3.02653
9.9,-16.5136,-3.05153
10,-16.8238,-3.07642
10.1,-17.1366,-3.10121
10.2,-17.4518,-3.12589
10.3,-17.7694,-3.15048
10.4,-18.0896,-3.17496
10.5,-18.4121,-3.19934
10.6,-18.7371,-3.22363
10.7,-19.0645,-3.24781
10.8,-19.3944,-3.27189
10.9,-19.7266,-3.29587
11,-20.0612,-3.31975
11.1,-20.3982,-3.34354
11.2,-20.7376,-3.36722
11.3,-21.0794,-3.39081
11.4,-21.4235,-3.4143
11.5,-21.7699,-3.4377
11.6,-22.1187,-3.461
11.7,-22.4698,-3.4842
11.8,-22.8232,-3.5073
11.9,-23.1789,-3.53031
12,-23.537,-3.55323
12.1,-23.8973,-3.57605
12.2,-24.2599,-3.59878
12.3,-24.6247,-3.62141
12.4,-24.9918,-3.64395
12.5,-25.3612,-3.6664
12.6,-25.7328,-3.68875
12.7,-26.1066,-3.71101
12.8,-26.4827,-3.73318
12.9,-26.861,-3.75526
13,-27.2414,-3.77725
13.1,-27.6241,-3.79914
13.2,-28.0089,-3.82095
13.3,-28.396,-3.84266
13.4,-28.7852,-3.86429
13.5,-29.1765,-3.88583
13.6,-29.57,-3.90728
13.7,-29.9657,-3.92864
13.8,-30.3634,-3.94991
13.9,-30.7633,-3.97109
14,-31.1653,-3.99219
14.1,-31.5694,-4.0132
14.2,-31.9757,-4.03412
14.3,-32.384,-4.05496
14.4,-32.7943,-4.07571
14.5,-33.2068,-4.09637
14.6,-33.6213,-4.11695
14.7,-34.0379,-4.13744
14.8,-34.4565,-4.15785
14.9,-34.8771,-4.17818
15,-35.2998,-4.19842
15.1,-35.7245,-4.21858
15.2,-36.1512,-4.23866
15.3,-36.5799,-4.25865
15.4,-37.0106,-4.27856
15.5,-37.4433,-4.29838
15.6,-37.878,-4.31813
15.7,-38.3146,-4.33779
15.8,-38.7532,-4.35738
15.9,-39.1938,-4.37688
16,-39.6363,-4.3963
16.1,-40.0807,-4.41564
16.2,-40.5271,-4.4349
16.3,-40.9754,-4.45409
16.4,-41.4256,-4.47319
16.5,-41.8777,-4.49221
16.6,-42.3317,-4.51116
16.7,-42.7876,-4.53003
16.8,-43.2454,-4.54882
16.9,-43.7051,-4.56753
17,-44.1666,-4.58616
17.1,-44.63,-4.60472
17.2,-45.0952,-4.6232
17.3,-45.5623,-4.64161
17.4,-46.0312,-4.65994
17.5,-46.502,-4.67819
17.6,-46.9746,-4.69637
17.7,-47.449,-4.71447
17.8,-47.9252,-4.7325
17.9,-48.4031,-4.75045
18,-48.8829,-4.76833
18.1,-49.3645,-4.78614
18.2,-49.8478,-4.80387
18.3,-50.333,-4.82153
18.4,-50.8198,-4.83912
18.5,-51.3085,-4.85663
18.6,-51.7989,-4.87407
18.7,-52.291,-4.89144
18.8,-52.7848,-4.90874
18.9,-53.2804,-4.92597
19,-53.7777,-4.94312
19.1,-54.2767,-4.96021
19.2,-54.7774,-4.97722
19.3,-55.2799,-4.99417
19.4,-55.784,-5.01104
19.5,-56.2897,-5.02785
19.6,-56.7972,-5.04458
19.7,-57.3063,-5.06125
19.8,-57.8171,-5.07784
19.9,-58.3296,-5.09437
20,-58.8437,-5.11083
20.1,-59.3595,-5.12723
20.2,-59.8768,-5.14355
20.3,-60.3959,-5.15981
20.4,-60.9165,-5.176
20.5,-61.4387,-5.19212
20.6,-61.9626,-5.20818
20.7,-62.4881,-5.22417
20.8,-63.0151,-5.2401
20.9,-63.5438,-5.25596
21,-64.074,-5.27175
21.1,-64.6058,-5.28748
21.2,-65.1392,-5.30314
21.3,-65.6741,-5.31874
21.4,-66.2106,-5.33427
21.5,-66.7487,-5.34975
21.6,-67.2882,-5.36515
21.7,-67.8294,-5.38049
21.8,-68.372,-5.39577
21.9,-68.9162,-5.41099
22,-69.4619,-5.42614
22.1,-70.0091,-5.44124
22.2,-70.5579,-5.45627
22.3,-71.1081,-5.47123
22.4,-71.6598,-5.48614
22.5,-72.213,-5.50098
22.6,-72.7677,-5.51576
22.7,-73.3238,-5.53049
22.8,-73.8815,-5.54515
22.9,-74.4405,-5.55975
23,-75.0011,-5.57429
23.1,-75.5631,-5.58877
23.2,-76.1265,-5.60319
23.3,-76.6914,-5.61755
23.4,-77.2577,-5.63185
23.5,-77.8255,-5.64609
23.6,-78.3946,-5.66027
23.7,-78.9652,-5.6744
23.8,-79.5372,-5.68847
23.9,-80.1106,-5.70247
24,-80.6854,-5.71643
24.1,-81.2616,-5.73032
24.2,-81.8391,-5.74415
24.3,-82.4181,-5.75793
24.4,-82.9984,-5.77166
24.5,-83.5801,-5.78532
24.6,-84.1631,-5.79893
24.7,-84.7476,-5.81248
24.8,-85.3333,-5.82598
24.9,-85.9204,-5.83942
25,-86.5089,-5.85281
25.1,-87.0987,-5.86614
25.2,-87.6898,-5.87941
25.3,-88.2823,-5.89263
25.4,-88.876,-5.9058
25.5,-89.4711,-5.91891
25.6,-90.0675,-5.93197
25.7,-90.6652,-5.94497
25.8,-91.2642,-5.95792
25.9,-91.8645,-5.97082
26,-92.466,-5.98366
26.1,-93.0689,-5.99645
26.2,-93.673,-6.00919
26.3,-94.2784,-6.02188
26.4,-94.8851,-6.03451
26.5,-95.493,-6.04709
26.6,-96.1022,-6.05962
26.7,-96.7126,-6.07209
26.8,-97.3243,-6.08452
26.9,-97.9372,-6.09689
27,-98.5513,-6.10922
27.1,-99.1667,-6.12149
27.2,-99.7833,-6.13371
27.3,-100.401,-6.14588
27.4,-101.02,-6.158
27.5,-101.64,-6.17007
27.6,-102.262,-6.1821
27.7,-102.885,-6.19407
27.8,-103.508,-6.20599
27.9,-104.133,-6.21786
28,-104.76,-6.22969
28.1,-105.387,-6.24146
28.2,-106.016,-6.25319
28.3,-106.645,-6.26487
28.4,-107.276,-6.2765
28.5,-107.908,-6.28808
28.6,-108.542,-6.29961
28.7,-109.176,-6.3111
28.8,-109.811,-6.32254
28.9,-110.448,-6.33393
29,-111.086,-6.34527
29.1,-111.725,-6.35657
29.2,-112.365,-6.36782
29.3,-113.006,-6.37903
29.4,-113.648,-6.39019
29.5,-114.292,-6.4013
29.6,-114.936,-6.41237
29.7,-115.582,-6.42339
29.8,-116.229,-6.43436
29.9,-116.877,-6.44529
30,-117.526,-6.45618
30.1,-118.176,-6.46702
30.2,-118.827,-6.47781
30.3,-119.479,-6.48857
30.4,-120.132,-6.49927
30.5,-120.786,-6.50993
30.6,-121.442,-6.52055
30.7,-122.098,-6.53113
30.8,-122.756,-6.54166
30.9,-123.414,-6.55215
31,-124.074,-6.56259
31.1,-124.734,-6.57299
31.2,-125.396,-6.58335
31.3,-126.059,-6.59367
31.4,-126.722,-6.60394
31.5,-127.387,-6.61417
31.6,-128.053,-6.62436
31.7,-128.72,-6.6345
31.8,-129.388,-6.64461
31.9,-130.056,-6.65467
32,-130.726,-6.66469
32.1,-131.397,-6.67467
32.2,-132.069,-6.68461
32.3,-132.742,-6.69451
32.4,-133.415,-6.70436
32.5,-134.09,-6.71418
32.6,-134.766,-6.72396
32.7,-135.443,-6.73369
32.8,-136.12,-6.74339
32.9,-136.799,-6.75304
33,-137.479,-6.76266
33.1,-138.159,-6.77223
33.2,-138.841,-6.78177
33.3,-139.523,-6.79126
33.4,-140.207,-6.80072
33.5,-140.891,-6.81014
