Time(s),Position(m),Velocity(m/s)
16.8,44.2103,4.72079
16.9,44.6834,4.74021
17,45.1584,4.75955
17.1,45.6353,4.77881
17.2,46.1141,4.79799
17.3,46.5949,4.81709
17.4,47.0776,4.83611
17.5,47.5621,4.85506
17.6,48.0486,4.87392
17.7,48.5369,4.89271
17.8,49.0271,4.91142
17.9,49.5192,4.93005
18,50.0131,4.94861
18.1,50.5089,4.96709
18.2,51.0065,4.98549
18.3,51.506,5.00382
18.4,52.0073,5.02207
18.5,52.5104,5.04025
18.6,53.0153,5.05835
18.7,53.5221,5.07637
18.8,54.0306,5.09433
18.9,54.541,5.1122
19,55.0531,5.13001
19.1,55.567,5.14774
19.2,56.0826,5.1654
19.3,56.6,5.18298
19.4,57.1192,5.20049
19.5,57.6401,5.21793
19.6,58.1628,5.2353
19.7,58.6872,5.2526
19.8,59.2133,5.26982
19.9,59.7412,5.28698
20,60.2707,5.30406
20.1,60.802,5.32107
20.2,61.3349,5.33801
20.3,61.8696,5.35489
20.4,62.4059,5.37169
20.5,62.9439,5.38842
20.6,63.4836,5.40509
20.7,64.0249,5.42168
20.8,64.5679,5.43821
20.9,65.1126,5.45467
21,65.6589,5.47106
21.1,66.2068,5.48738
21.2,66.7563,5.50364
21.3,67.3075,5.51983
21.4,67.8603,5.53595
21.5,68.4147,5.552
21.6,68.9707,5.56799
21.7,69.5283,5.58391
21.8,70.0875,5.59977
21.9,70.6482,5.61556
22,71.2106,5.63129
22.1,71.7745,5.64695
22.2,72.34,5.66255
22.3,72.907,5.67808
22.4,73.4756,5.69355
22.5,74.0457,5.70896
22.6,74.6174,5.7243
22.7,75.1906,5.73958
22.8,75.7653,5.75479
22.9,76.3415,5.76994
23,76.9193,5.78503
23.1,77.4986,5.80006
23.2,78.0793,5.81503
23.3,78.6616,5.82993
23.4,79.2453,5.84477
23.5,79.8305,5.85955
23.6,80.4172,5.87427
23.7,81.0054,5.88893
23.8,81.595,5.90353
23.9,82.1861,5.91807
24,82.7786,5.93255
24.1,83.3726,5.94696
24.2,83.968,5.96132
24.3,84.5648,5.97562
24.4,85.1631,5.98986
24.5,85.7628,6.00405
24.6,86.3639,6.01817
24.7,86.9665,6.03223
24.8,87.5704,6.04624
24.9,88.1757,6.06019
25,88.7824,6.07408
25.1,89.3905,6.08792
25.2,90,6.1017
25.3,90.6109,6.11542
25.4,91.2231,6.12908
25.5,91.8367,6.14269
25.6,92.4516,6.15624
25.7,93.0679,6.16973
25.8,93.6856,6.18317
25.9,94.3046,6.19656
26,94.9249,6.20989
26.1,95.5465,6.22316
26.2,96.1695,6.23638
26.3,96.7938,6.24954
26.4,97.4194,6.26265
26.5,98.0463,6.27571
26.6,98.6746,6.28871
26.7,99.3041,6.30166
26.8,99.9349,6.31456
26.9,100.567,6.3274
27,101.2,6.34019
27.1,101.835,6.35292
27.2,102.471,6.36561
27.3,103.108,6.37824
27.4,103.747,6.39082
27.5,104.386,6.40335
27.6,105.027,6.41582
27.7,105.669,6.42825
27.8,106.313,6.44062
27.9,106.958,6.45294
28,107.604,6.46521
28.1,108.251,6.47743
28.2,108.899,6.4896
28.3,109.549,6.50172
28.4,110.199,6.51379
28.5,110.851,6.52581
28.6,111.505,6.53778
28.7,112.159,6.5497
28.8,112.814,6.56157
28.9,113.471,6.57339
29,114.129,6.58517
29.1,114.788,6.59689
29.2,115.449,6.60857
29.3,116.11,6.6202
29.4,116.773,6.63178
29.5,117.436,6.64331
29.6,118.101,6.6548
29.7,118.767,6.66624
29.8,119.434,6.67763
29.9,120.103,6.68897
30,120.772,6.70027
30.1,121.443,6.71152
30.2,122.115,6.72272
30.3,122.787,6.73388
30.4,123.461,6.74499
30.5,124.136,6.75605
30.6,124.813,6.76707
30.7,125.49,6.77805
30.8,126.168,6.78898
30.9,126.848,6.79986
31,127.528,6.8107
31.1,128.21,6.8215
31.2,128.892,6.83225
31.3,129.576,6.84295
31.4,130.261,6.85361
31.5,130.947,6.86423
31.6,131.634,6.8748
31.7,132.322,6.88533
31.8,133.011,6.89582
31.9,133.701,6.90626
32,134.392,6.91666
32.1,135.084,6.92702
32.2,135.778,6.93733
32.3,136.472,6.94761
32.4,137.167,6.95784
32.5,137.863,6.96802
32.6,138.561,6.97817
32.7,139.259,6.98827
32.8,139.958,6.99833
32.9,140.659,7.00835
33,141.36,7.01833
33.1,142.062,7.02827
33.2,142.766,7.03817
33.3,143.47,7.04802
33.4,144.175,7.05784
33.5,144.882,7.06761
33.6,145.589,7.07734
33.7,146.297,7.08704
33.8,147.006,7.09669
33.9,147.716,7.10631
34,148.427,7.11588
34.1,149.14,7.12542
34.2,149.853,7.13491
34.3,150.567,7.14437
34.4,151.281,7.15378
34.5,151.997,7.16316
34.6,152.714,7.1725
34.7,153.432,7.1818
34.8,154.15,7.19107
34.9,154.87,7.20029
35,155.59,7.20948
35.1,156.312,7.21863
35.2,157.034,7.22774
35.3,157.757,7.23681
35.4,158.482,7.24585
35.5,159.207,7.25485
35.6,159.933,7.26381
35.7,160.659,7.27273
35.8,161.387,7.28162
35.9,162.116,7.29047
36,162.845,7.29928
36.1,163.576,7.30806
36.2,164.307,7.3168
36.3,165.039,7.32551
36.4,165.772,7.33418
36.5,166.506,7.34281
36.6,167.24,7.35141
36.7,167.976,7.35997
36.8,168.712,7.3685
36.9,169.45,7.37699
37,170.188,7.38545
37.1,170.927,7.39387
37.2,171.667,7.40226
37.3,172.407,7.41061
37.4,173.149,7.41893
37.5,173.891,7.42722
37.6,174.634,7.43547
37.7,175.378,7.44368
37.8,176.123,7.45187
37.9,176.869,7.46001
38,177.615,7.46813
38.1,178.362,7.47621
38.2,179.11,7.48426
38.3,179.859,7.49227
38.4,180.609,7.50025
38.5,181.359,7.5082
38.6,182.11,7.51612
38.7,182.862,7.524
38.8,183.615,7.53185
38.9,184.369,7.53967
39,185.123,7.54746
39.1,185.878,7.55521
39.2,186.634,7.56293
39.3,187.391,7.57062
39.4,188.148,7.57828
39.5,188.906,7.58591
39.6,189.665,7.5935
39.7,190.425,7.60106
39.8,191.186,7.6086
39.9,191.947,7.6161
40,192.709,7.62357
40.1,193.472,7.63101
40.2,194.235,7.63842
40.3,194.999,7.6458
40.4,195.764,7.65314
40.5,196.53,7.66046
40.6,197.296,7.66775
40.7,198.063,7.67501
40.8,198.831,7.68223
40.9,199.6,7.68943
41,200.369,7.6966
41.1,201.139,7.70374
41.2,201.91,7.71085
41.3,202.681,7.71793
41.4,203.453,7.72498
41.5,204.226,7.732
41.6,205,7.73899
41.7,205.774,7.74595
41.8,206.549,7.75289
41.9,207.325,7.75979
42,208.101,7.76667
42.1,208.878,7.77352
42.2,209.656,7.78034
42.3,210.434,7.78713
42.4,211.213,7.7939
42.5,211.993,7.80063
42.6,212.773,7.80734
42.7,213.554,7.81402
42.8,214.336,7.82068
42.9,215.118,7.8273
43,215.902,7.8339
43.1,216.685,7.84047
43.2,217.47,7.84702
43.3,218.255,7.85354
43.4,219.04,7.86003
43.5,219.827,7.86649
43.6,220.614,7.87293
43.7,221.401,7.87934
43.8,222.189,7.88572
43.9,222.978,7.89208
44,223.768,7.89841
44.1,224.558,7.90472
44.2,225.349,7.911
44.3,226.14,7.91725
44.4,226.932,7.92348
44.5,227.725,7.92968
44.6,228.518,7.93586
44.7,229.312,7.94201
44.8,230.107,7.94813
44.9,230.902,7.95423
45,231.697,7.96031
45.1,232.494,7.96636
45.2,233.291,7.97238
45.3,234.088,7.97838
45.4,234.886,7.98436
45.5,235.685,7.99031
45.6,236.484,7.99623
45.7,237.284,8.00214
45.8,238.085,8.00801
45.9,238.886,8.01387
46,239.688,8.0197
46.1,240.49,8.0255
46.2,241.293,8.03128
46.3,242.096,8.03704
46.4,242.9,8.04277
46.5,243.705,8.04848
46.6,244.51,8.05417
46.7,245.316,8.05983
46.8,246.122,8.06547
46.9,246.929,8.07108
47,247.736,8.07668
47.1,248.544,8.08225
47.2,249.353,8.08779
47.3,250.162,8.09332
47.4,250.971,8.09882
47.5,251.781,8.1043
47.6,252.592,8.10975
47.7,253.403,8.11519
47.8,254.215,8.1206
47.9,255.027,8.12598
48,255.84,8.13135
48.1,256.654,8.13669
48.2,257.468,8.14202
48.3,258.282,8.14732
48.4,259.097,8.15259
48.5,259.913,8.15785
48.6,260.729,8.16309
48.7,261.545,8.1683
48.8,262.362,8.17349
48.9,263.18,8.17866
49,263.998,8.18381
49.1,264.817,8.18894
49.2,265.636,8.19404
49.3,266.456,8.19913
49.4,267.276,8.20419
49.5,268.096,8.20924
49.6,268.918,8.21426
49.7,269.739,8.21926
49.8,270.561,8.22424
49.9,271.384,8.2292
50,272.207,8.23414
50.1,273.031,8.23906
50.2,273.855,8.24396
50.3,274.68,8.24884
50.4,275.505,8.2537
50.5,276.33,8.25854
50.6,277.156,8.26336
50.7,277.983,8.26816
50.8,278.81,8.27294
50.9,279.638,8.2777
51,280.466,8.28244
51.1,281.294,8.28716
51.2,282.123,8.29186
51.3,282.953,8.29654
51.4,283.782,8.3012
51.5,284.613,8.30585
51.6,285.444,8.31047
51.7,286.275,8.31507
51.8,287.107,8.31966
51.9,287.939,8.32423
52,288.771,8.32877
52.1,289.605,8.3333
52.2,290.438,8.33781
52.3,291.272,8.34231
52.4,292.107,8.34678
52.5,292.941,8.35123
52.6,293.777,8.35567
52.7,294.613,8.36009
52.8,295.449,8.36449
52.9,296.285,8.36887
53,297.123,8.37323
53.1,297.96,8.37758
53.2,298.798,8.38191
53.3,299.637,8.38622
53.4,300.475,8.39051
53.5,301.315,8.39479
53.6,302.154,8.39904
53.7,302.994,8.40328
53.8,303.835,8.4075
53.9,304.676,8.41171
54,305.517,8.41589
54.1,306.359,8.42006
54.2,307.201,8.42422
54.3,308.044,8.42835
54.4,308.887,8.43247
54.5,309.73,8.43657
54.6,310.574,8.44066
54.7,311.419,8.44472
54.8,312.263,8.44877
54.9,313.108,8.45281
55,313.954,8.45683
55.1,314.8,8.46083
55.2,315.646,8.46481
55.3,316.493,8.46878
55.4,317.34,8.47273
55.5,318.187,8.47666
55.6,319.035,8.48058
55.7,319.883,8.48449
55.8,320.732,8.48837
55.9,321.581,8.49224
56,322.43,8.4961
56.1,323.28,8.49994
56.2,324.13,8.50376
56.3,324.981,8.50757
56.4,325.832,8.51136
56.5,326.683,8.51513
56.6,327.535,8.51889
56.7,328.387,8.52264
56.8,329.239,8.52637
56.9,330.092,8.53008
57,330.945,8.53378
57.1,331.799,8.53746
57.2,332.653,8.54113
57.3,333.507,8.54478
57.4,334.362,8.54842
57.5,335.217,8.55204
57.6,336.072,8.55565
57.7,336.928,8.55925
57.8,337.784,8.56282
57.9,338.641,8.56639
58,339.497,8.56994
58.1,340.355,8.57347
58.2,341.212,8.57699
58.3,342.07,8.58049
58.4,342.928,8.58398
58.5,343.787,8.58746
58.6,344.646,8.59092
58.7,345.505,8.59437
58.8,346.365,8.5978
58.9,347.225,8.60122
59,348.085,8.60463
59.1,348.946,8.60802
59.2,349.806,8.61139
59.3,350.668,8.61476
59.4,351.529,8.61811
59.5,352.391,8.62144
59.6,353.254,8.62476
59.7,354.116,8.62807
59.8,354.979,8.63136
59.9,355.843,8.63464
